Louisville_intype,Louisville_insubtype,Louisville_indate,Louisville_surreason,Louisville_outtype,Louisville_outsubtype,Louisville_outdate,Louisville_animaltype,Louisville_bites,Louisville_petsize,Dallas_Animal Type,Dallas_Animal Breed,Dallas_Intake Type,Dallas_Intake Subtype,Dallas_Intake Date,Dallas_Outcome Type,Dallas_Outcome Subtype,Dallas_Month,Dallas_Year
STRAY,OTC,2022-03-11,STRAY,ADOPTION,INTERNET,2022-03-20,DOG,N,MED,DOG,MIXED BREED,FOSTER,APPOINT,2022-10-29,TRANSFER,TRANSPORT,FY2024,FY2023
FOSTER,RETURN,2022-08-14,FOSTER RET,ADOPTION,WALK IN,2022-08-14,DOG,N,MED,DOG,MIXED BREED,OWNER SURRENDER,URGENT,2022-10-01,DIED,DASCLINIC,FY2024,FY2023
FOSTER,RETURN,2022-01-25,FOSTER RET,ADOPTION,FOSTER,2022-01-25,DOG,N,MED,DOG,MIXED BREED,STRAY,AT LARGE,2022-10-01,RETURNED TO OWNER,WESTMORELD,FY2024,FY2023
STRAY,OTC,2022-02-15,STRAY,TNR,CARETAKER,2022-02-17,CAT,N,MED,DOG,CHIHUAHUA SH,KEEPSAFE,OWN HOSPIT,2022-10-01,RETURNED TO OWNER,WESTMORELD,FY2024,FY2023
STRAY,FIELD,2022-01-04,STRAY,DIED,IN KENNEL,2022-01-07,CAT,N,MED,DOG,MIXED BREED,STRAY,AT LARGE,2022-10-01,EUTHANIZED,HUMANE,FY2024,FY2023
STRAY,OTC,2022-01-03,STRAY,FOSTER,TOO YOUNG,2022-01-11,DOG,N,PUPPY,DOG,LABRADOR RETR,KEEPSAFE,OWN DECEAS,2022-10-01,ADOPTION,WESTMORELD,FY2024,FY2023
STRAY,OTC,2022-03-08,STRAY,TNR,CARETAKER,2022-03-10,CAT,N,MED,DOG,SIBERIAN HUSKY,KEEPSAFE,OWN DECEAS,2022-10-01,ADOPTION,ADOPETS,FY2024,FY2023
STRAY,FIELD,2022-01-05,STRAY,TRANSFER,KHS,2022-01-20,DOG,N,MED,WILDLIFE,SQUIRREL,WILDLIFE,NON-RABIES,2022-10-01,EUTHANIZED,HUMANE,FY2024,FY2023
FOSTER,RETURN,2022-01-14,FOSTER RET,ADOPTION,WALK IN,2022-01-15,DOG,N,PUPPY,DOG,PLOTT HOUND,KEEPSAFE,OWN DECEAS,2022-10-01,ADOPTION,ADOPETS,FY2024,FY2023
STRAY,OTC,2022-01-06,STRAY,RTO,IN KENNEL,2022-01-06,DOG,N,LARGE,DOG,BOXER,KEEPSAFE,OWN DECEAS,2022-10-01,EUTHANIZED,MEDICAL,FY2024,FY2023
STRAY,OTC,2022-03-18,STRAY,RTO,IN KENNEL,2022-03-24,CAT,N,LARGE,DOG,MIXED BREED,STRAY,AT LARGE,2022-10-01,RETURNED TO OWNER,WESTMORELD,FY2024,FY2023
STRAY,OTC,2022-01-08,STRAY,RTO,IN KENNEL,2022-01-08,DOG,N,LARGE,DOG,BULLDOG,CONFISCATED,QUARANTINE,2022-10-01,EUTHANIZED,BITE,FY2024,FY2023
RETURN,ADOPTION,2022-04-01,NO TIME,ADOPTION,WEB METRO,2022-04-03,DOG,N,SMALL,CAT,DOMESTIC SH,OWNER SURRENDER,APPOINT,2022-10-01,TRANSFER,GENERAL,FY2024,FY2023
FOSTER,RETURN,2022-08-29,FOSTER RET,ADOPTION,FOSTER,2022-08-29,DOG,N,LARGE,DOG,DOBERMAN PINSCH,STRAY,AT LARGE,2022-10-01,TRANSFER,MEDICAL,FY2024,FY2023
FOSTER,RETURN,2022-05-11,FOSTER RET,ADOPTION,WALK IN,2022-05-13,CAT,N,KITTN,DOG,MIXED BREED,STRAY,AT LARGE,2022-10-01,TRANSFER,GENERAL,FY2024,FY2023
RETURN,ADOPTION,2022-07-21,LANDLORD,ADOPTION,TV,2022-07-22,DOG,N,LARGE,CAT,DOMESTIC SH,STRAY,AT LARGE,2022-10-01,TRANSFER,GENERAL,FY2024,FY2023
STRAY,OTC,2022-01-14,STRAY,RTO,IN KENNEL,2022-01-14,CAT,N,MED,DOG,LABRADOR RETR,STRAY,CONFINED,2022-10-01,TRANSFER,MEDICAL,FY2024,FY2023
FOSTER,RETURN,2022-01-05,FOSTER RET,ADOPTION,FEEDERS HL,2022-01-08,CAT,N,KITTN,DOG,MIXED BREED,STRAY,AT LARGE,2022-10-01,FOSTER,SAME DAY,FY2024,FY2023
STRAY,OTC,2022-01-07,STRAY,ADOPTION,WALK IN,2022-01-29,DOG,N,MED,DOG,MIXED BREED,FOSTER,APPOINT,2022-10-10,EUTHANIZED,SPACE,FY2024,FY2023
STRAY,FIELD,2022-03-01,STRAY,ADOPTION,WALK IN,2022-04-04,DOG,Y,LARGE,DOG,MIXED BREED,OWNER SURRENDER,EUTHANASIA REQUESTED,2022-10-01,EUTHANIZED,HUMANE,FY2024,FY2023
STRAY,OTC,2022-07-12,STRAY,RTO,IN KENNEL,2022-07-13,DOG,N,PUPPY,CAT,DOMESTIC SH,STRAY,AT LARGE,2022-10-01,TRANSFER,UNDERAGE,FY2024,FY2023
OWNER SUR,FIELD,2022-03-09,TOO MANY,TRANSFER,RESCUE GRP,2022-03-09,CAT,N,KITTN,DOG,CHIHUAHUA SH,OWNER SURRENDER,QUARANTINE,2022-10-01,RETURNED TO OWNER,WESTMORELD,FY2024,FY2023
STRAY,FIELD,2022-07-14,STRAY,RTO,IN FIELD,2022-07-14,DOG,N,TOY,CAT,DOMESTIC MH,STRAY,LEFT AT,2022-10-01,ADOPTION,WESTMORELD,FY2024,FY2023
STRAY,OTC,2022-09-09,STRAY,ADOPTION,WALK IN,2022-10-09,DOG,N,MED,DOG,ROTTWEILER,STRAY,CONFINED,2022-10-01,RETURNED TO OWNER,FIELD,FY2024,FY2023
RETURN,ADOPTION,2022-01-12,HYPER,TRANSFER,RESCUE GRP,2022-03-12,DOG,Y,MED,DOG,GREAT PYRENEES,STRAY,WEB,2022-10-01,FOUND EXP,OTHER,FY2024,FY2023
STRAY,OTC,2022-03-04,STRAY,ADOPTION,WEB METRO,2022-04-01,DOG,N,MED,DOG,SHIH TZU,STRAY,WEB,2022-10-02,LOST EXP,OTHER,FY2024,FY2023
STRAY,OTC,2022-01-20,STRAY,FOSTER,TOO YOUNG,2022-01-20,RABBIT,N,SMALL,DOG,PIT BULL,CONFISCATED,QUARANTINE,2022-10-02,RETURNED TO OWNER,WESTMORELD,FY2024,FY2023
FOSTER,RETURN,2022-02-14,STRAY,TRANSFER,RESCUE GRP,2022-02-14,RABBIT,N,SMALL,DOG,MIXED BREED,STRAY,AT LARGE,2022-10-02,ADOPTION,WESTMORELD,FY2024,FY2023
FOSTER,RETURN,2022-01-29,STRAY,TRANSFER,RESCUE GRP,2022-01-29,DOG,N,SMALL,DOG,MIXED BREED,STRAY,AT LARGE,2022-10-02,ADOPTION,WESTMORELD,FY2024,FY2023
DISPOSAL,FIELD,2022-09-30,DOA,DISPOSAL,STRAY,2022-09-30,DOG,N,PUPPY,DOG,MIXED BREED,STRAY,AT LARGE,2022-10-02,ADOPTION,WESTMORELD,FY2024,FY2023
STRAY,FIELD,2022-03-14,STRAY,RTO,IN FIELD,2022-03-14,DOG,N,MED,DOG,MIXED BREED,OWNER SURRENDER,PICK UP,2022-10-02,EUTHANIZED,SPACE,FY2024,FY2023
STRAY,OTC,2022-02-16,STRAY,FOSTER,VACATION,2022-02-22,DOG,N,SMALL,DOG,MIXED BREED,STRAY,CONFINED,2022-10-02,EUTHANIZED,SPACE,FY2024,FY2023
STRAY,OTC,2022-01-17,STRAY,ADOPTION,WALK IN,2022-03-02,DOG,N,MED,DOG,GOLDEN RETR,OWNER SURRENDER,URGENT,2022-10-02,EUTHANIZED,MEDICAL,FY2024,FY2023
STRAY,OTC,2022-12-07,STRAY,RTO,IN KENNEL,2022-12-07,DOG,N,MED,DOG,MIXED BREED,OWNER SURRENDER,URGENT,2022-10-02,EUTHANIZED,SPACE,FY2024,FY2023
STRAY,OTC,2022-10-03,STRAY,ADOPTION,INTERNET,2022-10-14,DOG,N,SMALL,DOG,MIXED BREED,OWNER SURRENDER,URGENT,2022-10-02,EUTHANIZED,SPACE,FY2024,FY2023
OWNER SUR,EUTH REQ,2022-03-29,AGG PEOPLE,EUTH,REQUESTED,2022-04-13,DOG,Y,LARGE,DOG,MIXED BREED,OWNER SURRENDER,URGENT,2022-10-02,EUTHANIZED,BEHAVIOR,FY2024,FY2023
FOSTER,RETURN,2022-04-07,STRAY,TRANSFER,RESCUE GRP,2022-04-07,RABBIT,N,X-LRG,DOG,MIXED BREED,OWNER SURRENDER,URGENT,2022-10-02,EUTHANIZED,BEHAVIOR,FY2024,FY2023
STRAY,OTC,2022-03-30,STRAY,ADOPTION,INTERNET,2022-04-02,CAT,N,MED,DOG,MIXED BREED,OWNER SURRENDER,URGENT,2022-10-02,EUTHANIZED,BEHAVIOR,FY2024,FY2023
STRAY,OTC,2022-04-04,STRAY,TRANSFER,RESCUE GRP,2022-04-21,DOG,N,LARGE,DOG,MIXED BREED,OWNER SURRENDER,URGENT,2022-10-02,EUTHANIZED,BEHAVIOR,FY2024,FY2023
STRAY,OTC,2022-04-04,STRAY,RTO,IN KENNEL,2022-04-04,DOG,N,SMALL,DOG,WH PT GRIFFON,STRAY,CONFINED,2022-10-02,RETURNED TO OWNER,FIELD,FY2024,FY2023
STRAY,FIELD,2022-05-04,STRAY,EUTH,MEDICAL,2022-05-04,CAT,N,KITTN,DOG,MIXED BREED,STRAY,AT LARGE,2022-10-02,ADOPTION,WESTMORELD,FY2024,FY2023
STRAY,OTC,2022-05-06,STRAY,TRANSFER,RESCUE GRP,2022-05-12,CAT,N,SMALL,DOG,MIXED BREED,STRAY,AT LARGE,2022-10-02,ADOPTION,WESTMORELD,FY2024,FY2023
OWNER SUR,EUTH REQ,2022-05-06,AGG PEOPLE,EUTH,REQUESTED,2022-06-09,CAT,Y,LARGE,DOG,MIXED BREED,OWNER SURRENDER,APPOINT,2022-10-23,FOSTER,SAME DAY,FY2024,FY2023
OWNER SUR,OTC,2022-03-25,RESPONSIBL,TRANSFER,RESCUE GRP,2022-04-02,DOG,N,SMALL,DOG,MIXED BREED,STRAY,AT LARGE,2022-10-02,ADOPTION,WESTMORELD,FY2024,FY2023
STRAY,FIELD,2022-03-04,NO HOME,ADOPTION,WALK IN,2022-03-18,CAT,N,MED,CAT,DOMESTIC SH,OWNER SURRENDER,APPOINT,2022-10-02,FOSTER,UNDERAGE,FY2024,FY2023
FOSTER,RETURN,2022-08-26,STRAY,ADOPTION,FOSTER,2022-08-26,DOG,N,LARGE,CAT,DOMESTIC SH,FOSTER,APPOINT,2022-11-28,ADOPTION,WESTMORELD,FY2024,FY2023
STRAY,OTC,2022-10-04,STRAY,TRANSFER,KHS,2022-10-10,CAT,N,KITTN,DOG,MIXED BREED,STRAY,AT LARGE,2022-10-02,ADOPTION,WESTMORELD,FY2024,FY2023
OWNER SUR,FIELD,2022-03-08,CRUELTY,DISPOSAL,NECROPSY,2022-03-09,DOG,N,MED,CAT,DOMESTIC SH,OWNER SURRENDER,APPOINT,2022-10-02,FOSTER,UNDERAGE,FY2024,FY2023
STRAY,FIELD,2022-03-10,STRAY,RTO,IN KENNEL,2022-03-11,DOG,N,LARGE,CAT,DOMESTIC SH,TREATMENT,ILLNESS,2022-11-28,TREATMENT,COMPLETED,FY2024,FY2023
FOSTER,RETURN,2022-09-01,FOSTER RET,EUTH,BEHAV OBSV,2022-09-01,DOG,N,MED,CAT,DOMESTIC SH,FOSTER,APPOINT,2022-11-28,ADOPTION,WESTMORELD,FY2024,FY2023
STRAY,FIELD,2022-03-07,STRAY,FOSTER,STRAY,2022-03-14,DOG,N,SMALL,CAT,DOMESTIC SH,OWNER SURRENDER,APPOINT,2022-10-02,FOSTER,UNDERAGE,FY2024,FY2023
STRAY,OTC,2022-01-04,STRAY,TNR,CARETAKER,2022-01-06,CAT,N,MED,CAT,DOMESTIC SH,OWNER SURRENDER,APPOINT,2022-10-02,FOSTER,UNDERAGE,FY2024,FY2023
STRAY,OTC,2022-04-05,STRAY,TNR,CARETAKER,2022-04-07,CAT,N,MED,CAT,DOMESTIC SH,FOSTER,APPOINT,2022-11-28,ADOPTION,WESTMORELD,FY2024,FY2023
FOSTER,RETURN,2022-04-17,FOSTER RET,ADOPTION,WALK IN,2022-05-02,DOG,N,LARGE,CAT,DOMESTIC SH,OWNER SURRENDER,APPOINT,2022-10-02,FOSTER,UNDERAGE,FY2024,FY2023
STRAY,FIELD,2022-02-15,STRAY,RTO,IN KENNEL,2022-02-17,DOG,N,MED,CAT,DOMESTIC SH,FOSTER,DIED,2022-10-25,DIED,IN FOSTER,FY2024,FY2023
STRAY,OTC,2022-06-04,STRAY,RTO,IN KENNEL,2022-06-06,DOG,N,MED,DOG,MIXED BREED,STRAY,AT LARGE,2022-10-02,EUTHANIZED,SPACE,FY2024,FY2023
STRAY,FIELD,2022-02-16,STRAY,RTO,IN KENNEL,2022-03-22,DOG,N,MED,CAT,DOMESTIC SH,OWNER SURRENDER,APPOINT,2022-10-02,FOSTER,UNDERAGE,FY2024,FY2023
STRAY,FIELD,2022-04-27,STRAY,ADOPTION,WALK IN,2022-05-25,DOG,N,LARGE,CAT,DOMESTIC SH,FOSTER,APPOINT,2022-11-28,ADOPTION,WESTMORELD,FY2024,FY2023
OWNER SUR,FIELD,2022-02-18,TOO MANY,ADOPTION,PRV ADOPT,2022-03-02,CAT,N,MED,WILDLIFE,OPOSSUM,WILDLIFE,NON-RABIES,2022-10-02,EUTHANIZED,HUMANE,FY2024,FY2023
STRAY,OTC,2022-04-01,STRAY,FOSTER,TOO YOUNG,2022-04-03,CAT,N,KITTN,CAT,DOMESTIC SH,STRAY,CONFINED,2022-10-02,ADOPTION,WESTMORELD,FY2024,FY2023
FOSTER,RETURN,2022-05-09,STRAY,TRANSFER,RESCUE GRP,2022-05-14,DOG,N,TOY,DOG,MIXED BREED,STRAY,AT LARGE,2022-10-02,ADOPTION,WESTMORELD,FY2024,FY2023
RETURN,ADOPTION,2022-04-21,MOVE,ADOPTION,WEB METRO,2022-04-23,DOG,N,MED,DOG,MIXED BREED,OWNER SURRENDER,WALK IN,2022-11-15,FOSTER,GENERAL,FY2024,FY2023
STRAY,FIELD,2022-03-11,AGG PEOPLE,EUTH,BEHAV OBSV,2022-03-23,DOG,Y,LARGE,DOG,AMER BULLDOG,CONFISCATED,SAC,2022-11-25,EUTHANIZED,BEHAVIOR,FY2024,FY2023
STRAY,OTC,2022-06-08,STRAY,ADOPTION,INTERNET,2022-06-21,DOG,N,SMALL,DOG,AMER BULLDOG,CONFISCATED,QUARANTINE,2022-10-02,RETURNED TO OWNER,WESTMORELD,FY2024,FY2023
FOSTER,RETURN,2022-06-02,STRAY,TRANSFER,RESCUE GRP,2022-06-05,DOG,N,TOY,DOG,MIXED BREED,STRAY,AT LARGE,2022-10-02,EUTHANIZED,HUMANE,FY2024,FY2023
OWNER SUR,FIELD,2022-03-22,TOO MANY,TRANSFER,KHS,2022-04-14,CAT,N,MED,DOG,MIXED BREED,STRAY,AT LARGE,2022-10-02,EUTHANIZED,SPACE,FY2024,FY2023
STRAY,FIELD,2022-04-10,STRAY,RTO,IN FIELD,2022-04-10,DOG,N,LARGE,DOG,MIXED BREED,STRAY,AT LARGE,2022-10-02,ADOPTION,ADOPETS,FY2024,FY2023
STRAY,OTC,2022-04-11,STRAY,ADOPTION,INTERNET,2022-04-21,DOG,N,PUPPY,WILDLIFE,GUINEA PIG,CONFISCATED,SAC,2022-10-02,ADOPTION,WESTMORELD,FY2024,FY2023
STRAY,OTC,2022-03-22,STRAY,FOSTER,TOO YOUNG,2022-03-23,CAT,N,KITTN,WILDLIFE,GUINEA PIG,CONFISCATED,SAC,2022-10-02,ADOPTION,WESTMORELD,FY2024,FY2023
STRAY,OTC,2022-10-15,STRAY,ADOPTION,WALK IN,2022-10-29,DOG,N,LARGE,DOG,GERM SHEPHERD,STRAY,WEB,2022-10-02,LOST EXP,OTHER,FY2024,FY2023
STRAY,OTC,2022-10-15,STRAY,RTO,IN KENNEL,2022-10-18,DOG,N,MED,DOG,WEST HIGHLAND,STRAY,WEB,2022-10-02,FOUND EXP,OTHER,FY2024,FY2023
STRAY,OTC,2022-04-17,STRAY,ADOPTION,WALK IN,2022-05-02,DOG,N,SMALL,DOG,WEST HIGHLAND,STRAY,WEB,2022-10-02,FOUND EXP,OTHER,FY2024,FY2023
STRAY,FIELD,2022-03-23,STRAY,ADOPTION,INTERNET,2022-04-02,CAT,N,MED,DOG,MIXED BREED,STRAY,AT LARGE,2022-10-02,FOSTER,SAME DAY,FY2024,FY2023
STRAY,FIELD,2022-07-08,STRAY,ADOPTION,WALK IN,2022-07-15,CAT,N,SMALL,DOG,MIXED BREED,FOSTER,APPOINT,2022-11-17,ADOPTION,BY FOSTER,FY2024,FY2023
STRAY,OTC,2022-07-09,STRAY,FOSTER,VACATION,2022-07-14,DOG,Y,MED,DOG,MIXED BREED,STRAY,AT LARGE,2022-10-02,ADOPTION,WESTMORELD,FY2024,FY2023
STRAY,FIELD,2022-04-15,STRAY,RTO,IN KENNEL,2022-04-23,DOG,N,MED,DOG,MIXED BREED,STRAY,AT LARGE,2022-10-02,ADOPTION,WESTMORELD,FY2024,FY2023
STRAY,OTC,2022-07-11,STRAY,FOSTER,STRAY,2022-07-16,DOG,N,LARGE,DOG,MIXED BREED,OWNER SURRENDER,WALK IN,2022-12-13,ADOPTION,WESTMORELD,FY2024,FY2023
STRAY,OTC,2022-03-14,STRAY,TRANSFER,KHS,2022-04-14,DOG,N,LARGE,DOG,SHIH TZU,STRAY,CONFINED,2022-10-02,RETURNED TO OWNER,WESTMORELD,FY2024,FY2023
FOSTER,RETURN,2022-07-28,FOSTER RET,ADOPTION,FOSTER,2022-07-28,DOG,N,LARGE,DOG,MIXED BREED,STRAY,CONFINED,2022-10-02,EUTHANIZED,SPACE,FY2024,FY2023
STRAY,OTC,2022-07-13,STRAY,FOSTER,VACATION,2022-07-30,DOG,N,MED,DOG,MIXED BREED,OWNER SURRENDER,WALK IN,2022-10-02,EUTHANIZED,BEHAVIOR,FY2024,FY2023
FOSTER,RETURN,2022-03-27,FOSTER RET,ADOPTION,WALK IN,2022-03-30,CAT,N,MED,DOG,MIXED BREED,STRAY,AT LARGE,2022-10-02,ADOPTION,WESTMORELD,FY2024,FY2023
STRAY,FIELD,2022-09-10,OWNER MED,RTO,IN KENNEL,2022-09-13,DOG,N,PUPPY,CAT,DOMESTIC SH,STRAY,AT LARGE,2022-10-02,FOSTER,UNDERAGE,FY2024,FY2023
STRAY,OTC,2022-07-18,STRAY,ADOPTION,WALK IN,2022-08-06,DOG,N,SMALL,CAT,DOMESTIC SH,FOSTER,APPOINT,2022-12-01,ADOPTION,WESTMORELD,FY2024,FY2023
STRAY,OTC,2022-07-12,STRAY,TRANSFER,KHS,2022-07-18,CAT,N,KITTN,DOG,RHOD RIDGEBACK,KEEPSAFE,OWN DECEAS,2022-10-02,EUTHANIZED,MEDICAL,FY2024,FY2023
STRAY,FIELD,2022-07-16,STRAY,RTO,IN KENNEL,2022-07-18,DOG,N,PUPPY,DOG,YORKSHIRE TERR,STRAY,WEB,2022-10-01,FOUND EXP,OTHER,FY2024,FY2023
STRAY,OTC,2022-02-11,STRAY,ADOPTION,WALK IN,2022-02-19,DOG,N,PUPPY,DOG,SHIH TZU,STRAY,WEB,2022-10-01,FOUND EXP,OTHER,FY2024,FY2023
STRAY,FIELD,2022-07-17,STRAY,TRANSFER,RESCUE GRP,2022-08-20,DOG,N,LARGE,DOG,MIXED BREED,STRAY,CONFINED,2022-10-02,TRANSFER,GENERAL,FY2024,FY2023
STRAY,OTC,2022-07-19,STRAY,RTO,IN KENNEL,2022-07-20,DOG,N,TOY,DOG,CHIHUAHUA LH,STRAY,WEB,2022-10-02,FOUND EXP,OTHER,FY2024,FY2023
STRAY,FIELD,2022-04-01,STRAY,TRANSPORT,RESCUE GRP,2022-04-23,DOG,N,MED,DOG,GREYHOUND,STRAY,CONFINED,2022-10-03,TRANSFER,GENERAL,FY2024,FY2023
FOSTER,RETURN,2022-06-02,STRAY,ADOPTION,PRV ADOPT,2022-06-02,CAT,N,KITTN,DOG,CHIHUAHUA SH,STRAY,WEB,2022-10-02,LOST EXP,OTHER,FY2024,FY2023
STRAY,FIELD,2022-04-05,STRAY,RTO,IN KENNEL,2022-04-05,DOG,N,LARGE,DOG,CHIHUAHUA LH,STRAY,WEB,2022-10-02,LOST EXP,OTHER,FY2024,FY2023
FOSTER,RETURN,2022-06-15,FOSTER RET,ADOPTION,WALK IN,2022-06-21,CAT,N,KITTN,DOG,PIT BULL,KEEPSAFE,OWN ARREST,2022-10-03,EUTHANIZED,SPACE,FY2024,FY2023
FOSTER,RETURN,2022-05-06,FOSTER RET,ADOPTION,WALK IN,2022-06-18,DOG,N,SMALL,DOG,PIT BULL,STRAY,AT LARGE,2022-10-03,RETURNED TO OWNER,WESTMORELD,FY2024,FY2023
FOSTER,RETURN,2022-05-10,FOSTER RET,ADOPTION,WALK IN,2022-05-10,CAT,N,KITTN,DOG,PIT BULL,STRAY,AT LARGE,2022-10-03,RETURNED TO OWNER,FIELD,FY2024,FY2023
STRAY,OTC,2022-04-25,STRAY,FOSTER,TOO YOUNG,2022-04-25,CAT,N,KITTN,DOG,MIXED BREED,STRAY,AT LARGE,2022-10-03,RETURNED TO OWNER,WESTMORELD,FY2024,FY2023
CONFISCATE,EVICTION,2022-06-05,ABANDON,TRANSFER,RESCUE GRP,2022-06-24,DOG,N,MED,DOG,MIXED BREED,STRAY,AT LARGE,2022-12-01,ADOPTION,WESTMORELD,FY2024,FY2023
STRAY,FIELD,2022-03-02,STRAY,ADOPTION,WALK IN,2022-03-09,DOG,N,SMALL,DOG,MIXED BREED,STRAY,AT LARGE,2022-10-03,RETURNED TO OWNER,FIELD,FY2024,FY2023
FOSTER,RETURN,2022-01-25,STRAY,ADOPTION,WALK IN,2022-01-28,CAT,N,MED,CAT,DOMESTIC SH,STRAY,AT LARGE,2022-10-03,ADOPTION,WESTMORELD,FY2024,FY2023
STRAY,FIELD,2022-05-09,STRAY,RTO,IN KENNEL,2022-05-12,DOG,N,LARGE,CAT,DOMESTIC SH,STRAY,AT LARGE,2022-10-03,ADOPTION,WESTMORELD,FY2024,FY2023
STRAY,OTC,2022-02-21,STRAY,RTO,IN KENNEL,2022-02-21,CAT,N,MED,CAT,DOMESTIC SH,STRAY,AT LARGE,2022-10-03,ADOPTION,WESTMORELD,FY2024,FY2023
STRAY,OTC,2022-02-26,STRAY,ADOPTION,WALK IN,2022-03-13,DOG,N,MED,DOG,MIXED BREED,STRAY,AT LARGE,2022-10-03,ADOPTION,WESTMORELD,FY2024,FY2023
STRAY,OTC,2022-02-27,STRAY,TRANSFER,RESCUE GRP,2022-03-05,DOG,N,MED,DOG,DOBERMAN PINSCH,STRAY,WEB,2022-10-02,LOST EXP,OTHER,FY2024,FY2023
STRAY,FIELD,2022-03-28,STRAY,ADOPTION,INTERNET,2022-04-16,DOG,N,MED,DOG,SIBERIAN HUSKY,STRAY,WEB,2022-10-03,LOST EXP,OTHER,FY2024,FY2023
FOSTER,RETURN,2022-04-05,FOSTER RET,DIED,IN FOSTER,2022-04-05,CAT,N,KITTN,DOG,AM PIT BULL TER,STRAY,WEB,2022-10-02,LOST EXP,OTHER,FY2024,FY2023
STRAY,FIELD,2022-03-08,CRUELTY,DISPOSAL,NECROPSY,2022-03-09,DOG,N,MED,DOG,MIXED BREED,STRAY,AT LARGE,2022-10-03,ADOPTION,WESTMORELD,FY2024,FY2023
STRAY,OTC,2022-03-14,STRAY,TRANSFER,RESCUE GRP,2022-03-24,DOG,N,MED,DOG,MIXED BREED,KEEPSAFE,OWN DECEAS,2022-10-03,ADOPTION,WESTMORELD,FY2024,FY2023
STRAY,FIELD,2022-03-16,STRAY,TRANSFER,KHS,2022-03-21,DOG,N,SMALL,DOG,MIXED BREED,STRAY,AT LARGE,2022-10-03,EUTHANIZED,SPACE,FY2024,FY2023
STRAY,FIELD,2022-03-19,STRAY,ADOPTION,INTERNET,2022-05-14,DOG,N,MED,DOG,MIXED BREED,STRAY,AT LARGE,2022-10-03,ADOPTION,WESTMORELD,FY2024,FY2023
STRAY,FIELD,2022-02-06,STRAY,ADOPTION,WALK IN,2022-03-27,DOG,N,MED,DOG,PIT BULL,CONFISCATED,SAC,2022-10-03,EUTHANIZED,BEHAVIOR,FY2024,FY2023
STRAY,FIELD,2022-02-14,STRAY,TRANSPORT,RESCUE GRP,2022-02-19,OTHER,N,SMALL,DOG,BEAGLE,STRAY,AT LARGE,2022-10-03,EUTHANIZED,HUMANE,FY2024,FY2023
STRAY,OTC,2022-02-15,STRAY,ADOPTION,WALK IN,2022-02-24,DOG,N,SMALL,DOG,MIXED BREED,STRAY,AT LARGE,2022-10-03,EUTHANIZED,SPACE,FY2024,FY2023
STRAY,OTC,2022-02-20,STRAY,EUTH,MEDICAL,2022-03-04,CAT,N,MED,DOG,MIXED BREED,OWNER SURRENDER,APPOINT,2022-10-03,TRANSFER,TRANSPORT,FY2024,FY2023
OWNER SUR,FIELD,2022-02-22,AGG ANIMAL,EUTH,AGRESSION,2022-02-22,DOG,N,LARGE,CAT,DOMESTIC SH,STRAY,AT LARGE,2022-10-03,EUTHANIZED,HUMANE,FY2024,FY2023
OWNER SUR,EUTH REQ,2022-04-16,AGG PEOPLE,EUTH,REQUESTED,2022-04-27,DOG,Y,MED,DOG,CHIHUAHUA SH,STRAY,WEB,2022-10-02,LOST EXP,OTHER,FY2024,FY2023
OWNER SUR,OTC,2022-04-13,RESPONSIBL,ADOPTION,WALK IN,2022-04-30,CAT,N,MED,DOG,MIXED BREED,STRAY,CONFINED,2022-10-03,ADOPTION,WESTMORELD,FY2024,FY2023
STRAY,FIELD,2022-11-09,STRAY,ADOPTION,PRV ADOPT,2023-01-07,DOG,N,MED,DOG,MIXED BREED,OWNER SURRENDER,APPOINT,2022-10-03,EUTHANIZED,BEHAVIOR,FY2024,FY2023
STRAY,OTC,2022-04-21,STRAY,RTO,IN KENNEL,2022-04-21,DOG,N,SMALL,DOG,MIXED BREED,STRAY,AT LARGE,2022-10-03,ADOPTION,WESTMORELD,FY2024,FY2023
STRAY,OTC,2022-04-23,STRAY,TRANSFER,RESCUE GRP,2022-05-05,DOG,N,LARGE,DOG,MIXED BREED,STRAY,AT LARGE,2022-10-03,ADOPTION,WESTMORELD,FY2024,FY2023
OWNER SUR,FIELD,2022-04-27,AGG PEOPLE,EUTH,REQUESTED,2022-05-11,DOG,Y,MED,CAT,DOMESTIC SH,STRAY,CONFINED,2022-10-03,EUTHANIZED,MEDICAL,FY2024,FY2023
STRAY,OTC,2022-07-21,STRAY,TRANSFER,KHS,2022-07-25,CAT,N,SMALL,DOG,MIXED BREED,OWNER SURRENDER,WALK IN,2022-10-03,TRANSFER,MEDICAL,FY2024,FY2023
FOSTER,RETURN,2022-05-31,UNKNOWN,DIED,IN FOSTER,2022-05-31,CAT,N,KITTN,DOG,MIXED BREED,OWNER SURRENDER,APPOINT,2022-10-03,RETURNED TO OWNER,WESTMORELD,FY2024,FY2023
OWNER SUR,FIELD,2022-04-04,TOO MANY,TRANSFER,KHS,2022-04-14,CAT,N,MED,DOG,MIXED BREED,OWNER SURRENDER,APPOINT,2022-10-03,TRANSFER,BEHAVIOR,FY2024,FY2023
STRAY,OTC,2022-05-05,STRAY,ADOPTION,WALK IN,2022-05-16,DOG,N,PUPPY,DOG,MIXED BREED,OWNER SURRENDER,APPOINT,2022-10-03,EUTHANIZED,SPACE,FY2024,FY2023
